date,value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2000-01-03,100000.0,100030.87301587302,0,0.0,1.0,False,True,40
2000-01-04,100030.87301587302,100061.75556317712,0,0.0,1.0,False,True,40
2000-01-05,100061.75556317712,100092.64764485497,0,0.0,1.0,False,True,40
2000-01-06,100092.64764485497,100123.54926385009,0,0.0,1.0,False,True,40
2000-01-07,100123.54926385009,100154.46042310694,0,0.0,1.0,False,True,40
2000-01-10,100154.46042310694,100185.3811255709,0,0.0,1.0,False,True,40
2000-01-11,100185.3811255709,100216.31137418824,0,0.0,1.0,False,True,40
2000-01-12,100216.31137418824,100247.25117190614,0,0.0,1.0,False,True,40
2000-01-13,100247.25117190614,100278.20052167271,0,0.0,1.0,False,True,40
2000-01-14,100278.20052167271,100309.15942643695,0,0.0,1.0,False,True,40
2000-01-18,100309.15942643695,100340.12788914876,0,0.0,1.0,False,True,40
2000-01-19,100340.12788914876,100371.10591275898,0,0.0,1.0,False,True,40
2000-01-20,100371.10591275898,100402.09350021936,0,0.0,1.0,False,True,40
2000-01-21,100402.09350021936,100433.09065448253,0,0.0,1.0,False,True,40
2000-01-24,100433.09065448253,100464.09737850205,0,0.0,1.0,False,True,40
2000-01-25,100464.09737850205,100495.1136752324,0,0.0,1.0,False,True,40
2000-01-26,100495.1136752324,100526.13954762895,0,0.0,1.0,False,True,40
2000-01-27,100526.13954762895,100557.17499864801,0,0.0,1.0,False,True,40
2000-01-28,100557.17499864801,100588.2200312468,0,0.0,1.0,False,True,40
2000-01-31,100588.2200312468,100619.27464838343,0,0.0,1.0,False,True,40
2000-02-01,100619.27464838343,100649.93957018104,0,0.0,1.0,False,True,40
2000-02-02,100649.93957018104,100680.61383747862,0,0.0,0.47772903400173844,False,True,40
2000-02-03,100680.61383747862,100711.29745312434,0,0.0,0.47150122956107,False,True,0
2000-02-04,100711.29745312434,100741.9904199672,0,0.0,0.48038297885618425,False,True,0
2000-02-07,100741.9904199672,100772.69274085709,0,0.0,0.648734629613488,False,True,0
2000-02-08,100772.69274085709,100803.40441864479,0,0.0,0.6339637065617902,False,True,0
2000-02-09,100803.40441864479,100834.1254561819,0,0.0,0.6136675556334246,False,True,0
2000-02-10,100834.1254561819,100864.85585632092,0,0.0,0.6190473389557751,False,True,0
2000-02-11,100864.85585632092,100895.59562191523,0,0.0,0.6092462883137298,False,True,0
2000-02-14,100895.59562191523,100926.34475581905,0,0.0,0.6220018708708672,False,True,0
2000-02-15,100926.34475581905,100957.1032608875,0,0.0,0.6120759482153683,False,True,0
2000-02-16,100957.1032608875,100987.87113997653,0,0.0,0.6084410389914382,False,True,0
2000-02-17,100987.87113997653,101018.648395943,0,0.0,0.6192352506052864,False,True,0
2000-02-18,101018.648395943,101049.43503164462,0,0.0,0.595872626403784,False,True,0
2000-02-22,101049.43503164462,101080.23104993998,0,0.0,0.6424901787409149,False,True,0
2000-02-23,101080.23104993998,101111.03645368853,0,0.0,0.6415418712087008,False,True,0
2000-02-24,101111.03645368853,101141.85124575061,0,0.0,0.6200511758797366,False,True,0
2000-02-25,101141.85124575061,101172.67542898741,0,0.0,0.6201238846322309,False,True,0
2000-02-28,101172.67542898741,101203.50900626101,0,0.0,0.6516852517855617,False,True,0
2000-02-29,101203.50900626101,101234.35198043435,0,0.0,0.7124304330097941,False,True,0
2000-03-01,101234.35198043435,101265.20435437125,0,0.0,0.7175989224825061,False,True,0
2000-03-02,101265.20435437125,101296.0661309364,0,0.0,0.7176719363049657,False,True,0
2000-03-03,101296.0661309364,101326.93731299535,0,0.0,0.7040208382241328,False,True,0
2000-03-06,101326.93731299535,101357.81790341454,0,0.0,0.6970282881353631,False,True,40
